job_Id,job title,department,date posted,application deadline,valid through,sector,job location,education requirement,edu_value,type of contract,available posts,technical_skills,experience_min_req,experience_max_req,salary
1,Teacher,Academic Advisor,2025-04-10,2025-04-15,2025-05-15,Education,Blida,Licence,15,CDD,2,"Gamification, Special Needs Education, Teacher Training, Early Childhood Education",2,5,50000
2,Cybersecurity Analyst,DevOps Engineer,2025-02-09,2025-02-22,2025-03-24,Information Technology,Algiers,Baccalaureate,12,Internship,6,"Git, Ruby, UI/UX Design, Functional Programming",0,1,89000
3,Store Manager,Inventory Coordinator,2025-03-02,2025-03-12,2025-04-11,Retail,Oran,Ingénieur d'État,19,CDI,9,"Assortment Planning, Retail Sustainability, Retail Buying, Retail IoT, Inventory Management",4,6,58000
4,Fleet Coordinator,Supply Chain Analyst,2025-02-20,2025-02-24,2025-03-26,Transport & Logistics,Batna,Doctorat,20,CDI,10,,8,10,90000
5,Health Informatics Specialist,Health Informatics Specialist,2025-04-13,2025-05-09,2025-06-08,Healthcare,Tébessa,Licence,15,Freelance,3,,2,5,67000
6,Curriculum Developer,Curriculum Developer,2025-02-15,2025-03-15,2025-04-14,Education,Jijel,Doctorat,20,CDI,7,"Collaborative Learning, Gifted Education, Bloom's Taxonomy, Learning Analytics, Curriculum Development",8,13,60000
7,Quality Control Inspector,Quality Control Inspector,2025-03-19,2025-03-20,2025-04-19,Manufacturing,Sétif,Baccalaureate,12,Alternance,9,"SCADA, 3D Printing, Digital Twin, CAD Software, PLC Programming, MES",0,2,48000
8,Mine Engineer,Mine Engineer,2025-02-09,2025-02-13,2025-03-15,Mining,Bouira,No Formal Education,0,Alternance,3,,0,1,72000
9,Process Technician,Maintenance Engineer,2025-02-28,2025-03-11,2025-04-10,Manufacturing,M’sila,Master,17,Internship,2,"Digital Twin, CAD Software, PLC Programming, Robotics, MES",0,1,71000
10,Video Editor,Content Producer,2025-03-28,2025-04-26,2025-05-26,Media & Entertainment,Algiers,No Formal Education,0,Freelance,2,"Costume Design, NFTs in Entertainment, Programmatic Advertising, OTT Platforms",0,1,36000
11,Regulatory Affairs Specialist,Clinical Trials Manager,2025-02-09,2025-03-08,2025-04-07,Pharmaceuticals,Oran,Doctorat,20,Internship,6,,0,1,134000
12,Medical Technologist,Health Informatics Specialist,2025-02-26,2025-03-24,2025-04-23,Healthcare,Oran,Master,17,CDD,5,,6,7,80000
13,Aquaculture Technician,Fishery Inspector,2025-03-19,2025-03-29,2025-04-28,Fisheries,Béjaïa,No Formal Education,0,Internship,5,"Fisheries Education, Marine Protected Areas, Algae Cultivation, GIS Applications, Community Fisheries",0,1,24000
14,Quality Control Inspector,Production Supervisor,2025-03-22,2025-04-19,2025-05-19,Manufacturing,Algiers,Doctorat,20,Freelance,1,"3D Printing, ERP, CAD Software, Digital Twin, PLC Programming",8,13,80000
15,Formulation Scientist,Formulation Scientist,2025-03-06,2025-03-06,2025-04-05,Pharmaceuticals,Annaba,Doctorat,20,Freelance,4,,8,10,140000
16,Fleet Coordinator,Supply Chain Analyst,2025-04-21,2025-04-28,2025-05-28,Transport & Logistics,M’sila,Master,17,Freelance,10,,6,9,90000
17,Store Manager,Store Manager,2025-04-15,2025-05-05,2025-06-04,Retail,Jijel,Licence,15,CDI,1,"Retail Data Privacy, Retail Finance, RFID Systems, Retail Media Networks, Omnichannel Retail",2,5,49000
18,Site Manager,Quantity Surveyor,2025-03-12,2025-03-25,2025-04-24,Construction,Constantine,Ingénieur d'État,19,CDD,1,,4,5,86000
19,Risk Manager,Portfolio Manager,2025-02-22,2025-03-04,2025-04-03,Finance,Algiers,Licence,15,Freelance,7,"Risk Analysis Tools, Power BI, Tableau, QuickBooks",2,3,94000
20,Data Scientist,Software Engineer,2025-04-22,2025-05-08,2025-06-07,Information Technology,Annaba,Ingénieur d'État,19,Freelance,5,"Backend Development, Go, MATLAB, Web Development, Data Structures, Docker",4,7,148000
21,Fleet Coordinator,Customs Compliance Officer,2025-02-16,2025-02-20,2025-03-22,Transport & Logistics,Chlef,No Formal Education,0,Internship,10,,0,1,42000
22,Sound Designer,Sound Designer,2025-03-15,2025-03-19,2025-04-18,Media & Entertainment,Oran,Doctorat,20,Freelance,9,"Stunt Coordination, Entertainment Law, Media Archiving, AR/VR Development, 3D Animation",8,11,80000
23,Quality Control Inspector,Process Technician,2025-03-13,2025-03-29,2025-04-28,Manufacturing,Bejaïa,Ingénieur d'État,19,Internship,8,"Python, Robotics, CAD Software, ERP, 3D Printing, MES",0,1,66000
24,DevOps Engineer,Data Scientist,2025-04-06,2025-04-18,2025-05-18,Information Technology,Annaba,Baccalaureate,12,CDI,1,"Scrum, RESTful APIs, CSS, Bash, Data Analysis",0,1,89000
25,Data Scientist,Software Engineer,2025-04-26,2025-04-28,2025-05-28,Information Technology,Oran,Ingénieur d'État,19,CDD,3,"Database Design, PHP, MATLAB, TypeScript",4,5,143000
26,Portfolio Manager,Portfolio Manager,2025-04-18,2025-05-10,2025-06-09,Finance,Batna,Licence,15,Freelance,9,"Blockchain, Python, Excel, R",2,4,96000
27,Cybersecurity Analyst,Data Scientist,2025-03-31,2025-04-06,2025-05-06,Information Technology,Annaba,No Formal Education,0,Internship,7,"Mobile Development, DevOps, Backend Development, Object-Oriented Programming",0,1,71000
28,Reservoir Engineer,Reservoir Engineer,2025-05-07,2025-05-25,2025-06-24,Energy & Petroleum,Algiers,Master,17,Freelance,7,"Computational Fluid Dynamics, Well Testing, Oilfield Chemicals, Energy Storage, Drilling Engineering, Pipeline Engineering",6,10,200000
29,Regulatory Affairs Specialist,QA Analyst,2025-02-14,2025-03-12,2025-04-11,Pharmaceuticals,Constantine,Licence,15,Freelance,7,,2,4,112000
30,Supply Chain Analyst,Logistics Manager,2025-03-07,2025-03-24,2025-04-23,Transport & Logistics,Algiers,No Formal Education,0,CDD,4,,0,1,42000
31,Supply Chain Analyst,Logistics Manager,2025-04-04,2025-04-13,2025-05-13,Transport & Logistics,Constantine,Licence,15,CDI,10,,2,5,72000
32,Customs Compliance Officer,Fleet Coordinator,2025-04-16,2025-04-19,2025-05-19,Transport & Logistics,Algiers,Master,17,Freelance,1,,6,7,90000
33,Blasting Technician,Blasting Technician,2025-02-11,2025-02-22,2025-03-24,Mining,Blida,No Formal Education,0,Freelance,8,,0,1,72000
34,Clinical Researcher,Clinical Researcher,2025-04-23,2025-05-07,2025-06-06,Healthcare,Skikda,Ingénieur d'État,19,Alternance,5,,0,1,69000
35,Avionics Engineer,Avionics Engineer,2025-02-14,2025-02-25,2025-03-27,Aerospace & Defense,Sétif,Ingénieur d'État,19,Internship,4,,0,1,152000
36,Flight Test Engineer,Flight Test Engineer,2025-05-02,2025-05-06,2025-06-05,Aerospace & Defense,Blida,Ingénieur d'État,19,CDI,4,,4,6,175000
37,Wind Turbine Engineer,Energy Auditor,2025-03-15,2025-03-28,2025-04-27,Renewable Energy,Algiers,Licence,15,Alternance,5,,0,1,92000
38,Inventory Coordinator,Store Manager,2025-03-23,2025-04-09,2025-05-09,Retail,Algiers,Ingénieur d'État,19,Internship,2,"Store Layout, Demand Forecasting, Retail IoT, Retail KPIs",0,1,50000
39,Tour Guide,Guest Services Manager,2025-02-22,2025-03-11,2025-04-10,Tourism & Hospitality,Medea,Ingénieur d'État,19,Freelance,10,,4,5,57000
40,Reservoir Engineer,Reservoir Engineer,2025-03-13,2025-03-23,2025-04-22,Energy & Petroleum,Tipaza,Master,17,CDI,4,"Midstream Operations, Energy Transition, Directional Drilling, Petroleum Accounting, Petroleum Geology",6,10,200000
41,Instructional Designer,Academic Advisor,2025-04-13,2025-04-25,2025-05-25,Education,El Oued,Ingénieur d'État,19,Alternance,9,"Montessori Methods, Learning Analytics, Maker Education, Curriculum Development, Career Counseling, Multicultural Education",0,1,52000
42,Mine Engineer,Geologist,2025-04-16,2025-04-19,2025-05-19,Mining,Tipaza,Master,17,Internship,5,,0,1,142000
43,QA Analyst,Formulation Scientist,2025-04-07,2025-04-15,2025-05-15,Pharmaceuticals,El Oued,Doctorat,20,CDI,8,,8,11,140000
44,Sales Associate,Merchandiser,2025-03-30,2025-04-10,2025-05-10,Retail,M’sila,Doctorat,20,Internship,2,"Franchise Management, Consumer Behavior, Shopper Marketing, Vendor Management, Retail Digital Transformation",0,1,57000
45,Avionics Engineer,Systems Engineer,2025-02-22,2025-03-16,2025-04-15,Aerospace & Defense,Laghouat,Master,17,Alternance,5,,0,2,165000
46,Formulation Scientist,Formulation Scientist,2025-03-15,2025-03-28,2025-04-27,Pharmaceuticals,Algiers,Master,17,Freelance,10,,6,8,140000
47,Marketplace Coordinator,UX/UI Designer,2025-05-07,2025-06-03,2025-07-03,E-Commerce,Béjaïa,Ingénieur d'État,19,CDD,8,,4,7,98000
48,Guest Services Manager,Hotel Manager,2025-02-28,2025-03-15,2025-04-14,Tourism & Hospitality,Bejaïa,Doctorat,20,Alternance,7,,0,1,57000
49,Systems Engineer,Flight Test Engineer,2025-04-29,2025-05-01,2025-05-31,Aerospace & Defense,Algiers,Licence,15,Freelance,1,,2,4,145000
50,VFX Artist,Content Producer,2025-03-01,2025-03-02,2025-04-01,Media & Entertainment,Laghouat,Master,17,CDD,4,"Motion Graphics, Film Financing, Entertainment Law, Media Buying, Post-Production",6,10,80000
51,Health Informatics Specialist,Health Informatics Specialist,2025-04-26,2025-05-11,2025-06-10,Healthcare,Oran,Licence,15,Internship,10,,0,1,61000
52,UX/UI Designer,Marketplace Coordinator,2025-03-17,2025-03-29,2025-04-28,E-Commerce,Blida,Master,17,Freelance,4,,6,8,100000
53,Energy Auditor,Energy Auditor,2025-02-13,2025-02-23,2025-03-25,Renewable Energy,Constantine,Master,17,Internship,5,,0,1,116000
54,HSE Specialist,Petroleum Engineer,2025-05-06,2025-06-02,2025-07-02,Energy & Petroleum,Tébessa,Master,17,Freelance,10,"Hydraulic Fracturing, Energy Storage, Subsea Engineering, Reservoir Engineering, Renewable Integration, Energy Trading",6,7,200000
55,Process Technician,Production Supervisor,2025-05-03,2025-05-18,2025-06-17,Manufacturing,Oran,Baccalaureate,12,Alternance,3,"3D Printing, PLC Programming, Digital Twin, MES, ERP",0,2,48000
56,Digital Services Manager,Urban Planner,2025-02-27,2025-03-23,2025-04-22,Public Sector,Algiers,Ingénieur d'État,19,CDD,8,,4,7,69000
57,Data Scientist,Data Scientist,2025-03-17,2025-04-08,2025-05-08,Information Technology,Algiers,Master,17,CDD,10,"Cloud Computing, Bash, Docker, R, Microservices",6,9,150000
58,Store Manager,Sales Associate,2025-02-20,2025-03-04,2025-04-03,Retail,Khenchela,Master,17,CDI,2,"Demand Forecasting, Omnichannel Retail, Retail Technology, Vendor Management, Self-Checkout",6,9,60000
59,Instructional Designer,Instructional Designer,2025-02-20,2025-03-03,2025-04-02,Education,Algiers,Baccalaureate,12,Freelance,10,"Inquiry-Based Learning, Academic Research, STEM Education, Gamification",0,1,40000
60,Wind Turbine Engineer,Grid Integration Specialist,2025-04-20,2025-05-17,2025-06-16,Renewable Energy,Medea,Ingénieur d'État,19,Internship,6,,0,1,108000
61,Policy Analyst,Policy Analyst,2025-03-31,2025-04-12,2025-05-12,Public Sector,Oran,Baccalaureate,12,Internship,2,,0,1,43000
