job title,hiring organization,department,seniority level,date posted,valid through,sector,job location,education requirement,type of contract,available posts,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
General Director,Garcia EURL,General Management,Lead,2025-04-21,2025-06-28,Telecommunications,Annaba,Bac,CDI,15,"Formation continue, Épargne entreprise, Crèche d'entreprise",120000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",5,15
Team Leader,Garcia EURL,General Management,Junior,2025-03-31,2025-05-20,E-Commerce,Tizi Ouzou,Doctorat,CDD,1,"Voiture de fonction, Formation continue, Crèche d'entreprise",119000,"Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing",3,8
Environmental Compliance Officer,Loiseau et Fils EURL,"HSE (Health, Safety, Environment)",Senior,2025-04-13,2025-07-10,Energy & Petroleum,In Salah,Master,Alternance,9,"Crèche d'entreprise, Formation continue, Prime de performance",89000,"Project Management, Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office",5,6
Team Leader,Garcia EURL,Vocational Training,Senior,2025-04-02,2025-05-29,Education,El Tarf,Doctorat,CDD,2,"Formation continue, Épargne entreprise, Tickets restaurant",93000,"Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing",5,5
General Director,Marchal S.A.S. SPA,General Management,Mid,2025-04-09,2025-06-28,Pharmaceuticals,Mostaganem,Licence,CDD,14,"Crèche d'entreprise, Tickets restaurant, Prime de performance",125000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management",1,4
Team Leader,Besnard SARL SPA,Export Operations,Mid,2025-04-14,2025-05-27,Agriculture,Tébessa,Master,Alternance,13,"Télétravail partiel, Épargne entreprise, Formation continue",70000,"Project Management, Team Leadership, Arabic/French Bilingual, Report Writing, Microsoft Office",2,15
Operations Manager,Lucas SPA,Pediatric Care,Chief,2025-04-17,2025-06-26,Healthcare,Skikda,Doctorat,Alternance,10,"Crèche d'entreprise, Assurance maladie, Prime de performance",140000,"Team Leadership, Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual",2,13
IT Coordinator,Bigot Henry SARL EURL,IT Support,Junior,2025-04-22,2025-06-15,Information Technology,Timimoun,Ingénieur d'État,Alternance,6,"Épargne entreprise, Crèche d'entreprise, Tickets restaurant",140000,"Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management",1,5
Facilities Manager,Sauvage SARL,Operations,Junior,2025-04-06,2025-06-15,Transport & Logistics,Sétif,Doctorat,CDD,14,"Télétravail partiel, Épargne entreprise, Crèche d'entreprise",92000,"Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management",0,4
Team Leader,Lucas SPA,Pediatric Care,Lead,2025-04-21,2025-07-11,Healthcare,M'sila,Master,Freelance,4,"Épargne entreprise, Formation continue, Voiture de fonction",63000,"Report Writing, Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management",4,3
Facilities Manager,Algérie Télécom,Operations,Junior,2025-04-08,2025-06-08,Media & Entertainment,Tamanrasset,Ingénieur d'État,CDD,6,"Télétravail partiel, Assurance maladie, Tickets restaurant",147000,"Microsoft Office, Report Writing, Team Leadership, Project Management, Arabic/French Bilingual",0,10
Department Director,Lucas EURL,General Management,Mid,2025-03-28,2025-06-13,Manufacturing,Laghouat,Doctorat,CDI,15,"Assurance maladie, Prime de performance, Tickets restaurant",127000,"Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing",5,13
Administrative Manager,Pascal EURL,General Management,Junior,2025-04-03,2025-06-08,Mining,El Tarf,Bac,Freelance,6,"Formation continue, Crèche d'entreprise, Voiture de fonction",29000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",0,6
Operations Manager,Schmitt SARL EURL,General Management,Chief,2025-04-04,2025-06-02,Renewable Energy,Biskra,Ingénieur d'État,Alternance,12,"Crèche d'entreprise, Voiture de fonction, Tickets restaurant",143000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",3,5
General Director,Rodrigues EURL,General Management,Junior,2025-04-15,2025-05-29,Transport & Logistics,Blida,Ingénieur d'État,CDD,13,"Télétravail partiel, Prime de performance, Voiture de fonction",71000,"Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",5,13
Supply Chain Manager,Ollivier Becker S.A.R.L. SPA,Operations,Junior,2025-04-14,2025-05-23,E-Commerce,In Salah,Doctorat,Alternance,1,"Crèche d'entreprise, Assurance maladie, Épargne entreprise",50000,"Project Management, Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing",2,5
