job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,experience required,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills
AI Ethics Consultant,,Compliance,Chief,2024-07-14,2024-10-11,2024-10-11,Informatique,Tlemcen,6-15 ans,Bac,12,CDD,5,"Profil recherché (FR):
Responsabilités: Coordination, Communication, Organization
Profil: Strategic Planning, Compliance
Compétences:
- SEO
- Data Analysis
- Python
Avantages: Cloud; Research; Coordination
","Assurance santé, Prime performance",172341,"Time Management, Adaptability, Problem Solving, Critical Thinking, Teamwork"
Video Editor,,Risk Management,Lead,17 July 2024,04 August 2024,2024-08-04,Admin,Annaba,5-13 ans,Master,18,Volontariat,5,"Expérience requise: 5-13 ans. Éducation: Master, 18 ans. As Lead Video Editor, you'll design critical projects. En tant que Lead Video Editor, vous serez amené à coordonner les processus.",Prime performance,834933,"SQL, DevOps, Docker, Python, C++, Java, Network Security"
Researcher,,Product,Senior,03/06/2024,2024-06-10,2024-06-10,Ventes,Constantine,4-13 ans,None,0,Volontariat,10,"Profil recherché (FR):
Responsabilités: Data Analysis; Teamwork; Research
Profil: Digital Marketing, Compliance, Python
Compétences: Data Analysis, Teamwork, Leadership, UX/UI, Budgeting
Avantages:
- Digital Marketing
- Budgeting
- Teamwork
- Machine Learning
","Voiture de fonction, Ticket Restaurant",489684,"Patient Care, HIPAA Compliance, Pharmacovigilance, Clinical Trials, Medical Terminology"
Volunteer Coord.,,Procurement,Senior,"May 18, 2024",2024-07-04,2024-07-04,Ventes,Tlemcen,5-13 ans,Master,18,Temps partiel,3,"Expérience requise: 5-13 ans. Éducation: Master, 18 ans. As Senior Volunteer Coord., you'll design innovative projects. Contrat: Temps partiel. Localisation: Tlemcen. Département: IT.",Prime performance,306590,"Problem Solving, Communication, Time Management, Adaptability"
Project Manager,,Business Development,Chief,2024-05-03,2024-05-23,2024-05-23,Informatique,Hybride,0-9 ans,None,0,Temps partiel,3,"Profil recherché (EN):
Responsabilités:
- Research
- Coordination
Profil:
- Maintenance
- SEO
- Negotiation
- Strategic Planning
- Digital Marketing
Compétences:
- Data Analysis
- Blockchain
- Digital Marketing
- Graphic Design
Avantages:
- Project Mgmt
- Python
","Télétravail partiel, Voiture de fonction, Horaires flexibles",471453,"Lean Management, Process Optimization, Inventory Control, Logistics, Supply Chain Management, Quality Control"
Cloud Architect,,Technical Support,Senior,"Jul 31, 2024",08 October 2024,2024-10-08,Marketing,Tlemcen,5-13 ans,None,0,Stage,10,"Profil recherché (FR):
Responsabilités:
- Communication
- Budgeting
- CAD
- Python
Profil: Negotiation, Research, Digital Marketing, Java
Compétences: Machine Learning; Negotiation
Avantages:
- Java
- Leadership
- UX/UI
- Machine Learning
- Project Mgmt
","Voiture de fonction, Participation bénéfices",653394,"Machine Learning, Python, Kubernetes, SQL"
Project Manager,,Logistics,Chief,"Aug 13, 2024",2024-10-19,2024-10-19,Marketing,Béjaïa,4-6 ans,None,0,Temps plein,3,"As Chief Project Manager, you'll design key projects. En tant que Chief Project Manager, vous serez amené à développer l’équipe. Expérience requise: 4-6 ans. Éducation: None, 0 ans.","Horaires flexibles, Assurance santé",314913,"Inventory Control, Quality Control, Supply Chain Management, Process Optimization"
Data Scientist,,Business Development,Mid,09 December 2024,06 March 2025,2025-03-06,Informatique,Annaba,3-5 ans,Master,18,Stage,1,"En tant que Mid Data Scientist, vous serez amené à gérer les systèmes. Expérience requise: 3-5 ans. Éducation: Master, 18 ans. Contrat: Stage. Localisation: Annaba. Département: Marketing.",Voiture de fonction,363463,"SQL, C++, Kubernetes, Docker"
IT Intern,,Public Relations,Senior,05 January 2025,21 February 2025,2025-02-21,Juridique,Alger,10-12 ans,Bac,12,CDD,2,"Contrat: CDD. Localisation: Alger. Département: Engineering. Expérience requise: 10-12 ans. Éducation: Bac, 12 ans. As Senior IT Intern, you'll perform key projects.","Voiture de fonction, Formation continue, Ticket Restaurant",503725,"Kubernetes, SQL, Docker, Python"
UX Designer,,Logistics,Senior,2025-04-16,2025-05-26,2025-05-26,Finance,Alger,7-15 ans,None,0,Freelance,10,"Profil recherché (MIX):
Responsabilités:
- Blockchain
- Budgeting
- Research
- Customer Service
Profil: Data Analysis, Technical Writing, Machine Learning, Communication
Compétences:
- Maintenance
- Leadership
- Logistics
- Java
- Machine Learning
Avantages: UX/UI, Cloud, Research, Communication
",Voiture de fonction,504849,"Figma, Prototyping, Color Theory, Sketch, Adobe Photoshop"
QA Engineer,,IT Support,Junior,02/12/2024,30/12/2024,2024-12-30,Finance,El Oued,4-6 ans,None,0,CDD,5,"Profil recherché (EN):
Responsabilités: Cloud; Negotiation; Leadership
Profil:
- Java
- Budgeting
- Technical Writing
- Compliance
Compétences: Project Mgmt; Network Security
Avantages:
- Graphic Design
- Negotiation
- Strategic Planning
",Télétravail partiel,331854,"Network Security, Docker, Python, C++"
Security Officer,,Research & Development,Senior,05/04/2025,20/05/2025,2025-05-20,Marketing,Blida,4-14 ans,Licence,16,Temps partiel,5,"As Senior Security Officer, you'll perform innovative projects. Contrat: Temps partiel. Localisation: Blida. Département: IT. En tant que Senior Security Officer, vous serez amené à coordonner les relations clients.","Ticket Restaurant, Voiture de fonction",957823,"Java, Network Security, C++, Docker"
DB Admin,,Business Development,Chief,2024-05-14,25/07/2024,2024-07-25,Finance,El Oued,0-6 ans,Licence,16,Alternance,5,"Profil recherché (MIX):
Responsabilités: Strategic Planning, Digital Marketing
Profil:
- Java
- Graphic Design
Compétences: Communication, Blockchain
Avantages: Strategic Planning; Digital Marketing
","Participation bénéfices, Assurance santé, Télétravail partiel",278312,"Office Management, Customer Service, Scheduling, Document Control, Data Entry"
DB Admin,,Strategy,Chief,"Jul 21, 2024",08 August 2024,2024-08-08,Ingénierie,Béjaïa,4-13 ans,Doctorat,20,Freelance,10,"Profil recherché (EN):
Responsabilités: Budgeting, Strategic Planning, Java, Coordination, Leadership
Profil: Leadership, Technical Writing, Coordination, Organization, Python
Compétences: Strategic Planning, Communication
Avantages: Customer Service; Java; Leadership; Logistics
",Prime performance,444379,"Document Control, Customer Service, Data Entry, Office Management, Scheduling"
