job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
Administrative Manager,Leclerc EURL,General Management,Junior,2025-03-29,2025-05-26,2025-06-25,Mining,Tébessa,Bac,19,Freelance,4,Pourtant autorité appeler résultat nombreux chien derrière. Parfois dernier triste effacer étranger. Saisir calmer par déchirer visage droite paysan trait. Voie joie réclamer aile chaud agiter blanc. Lui importer parvenir caractère sourire que cruel. Disparaître sommet doute officier gens.,"Crèche d'entreprise, Formation continue, Assurance maladie",85000,"Report Writing, Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office",3,4
Department Director,Renault SPA,Investment Management,Chief,2025-03-26,2025-05-08,2025-06-07,Banking & Finance,Constantine,Doctorat,13,Stage,15,Cesser autre pierre admettre vérité. Caractère profondément fauteuil pareil côte. Tâche oublier prendre certes peau puis courant.,"Crèche d'entreprise, Épargne entreprise, Formation continue",98000,"Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office, Project Management",4,13
General Director,Baudry S.A.S. SARL,General Management,Senior,2025-04-12,2025-05-03,2025-06-02,Fisheries,Laghouat,Ingénieur d'État,13,Freelance,1,Permettre parti révolution perdu peau qualité. Autorité soit observer abandonner question page. Colère coûter rocher.,"Formation continue, Voiture de fonction, Épargne entreprise",98000,"Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management, Report Writing",0,13
Production Supervisor,ENIE,Operations,Chief,2025-04-18,2025-05-27,2025-06-26,Media & Entertainment,Aïn Témouchent,Doctorat,14,CDI,14,Sourire main rocher chaud recevoir terminer retrouver. Contraire plusieurs bras près importance. Chose compagnie sentier situation jeune précis pays.,"Prime de performance, Télétravail partiel, Formation continue",66000,"Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing, Team Leadership",2,13
Facilities Manager,Jourdan S.A.R.L. SPA,Operations,Chief,2025-04-04,2025-05-30,2025-06-29,Retail,Jijel,Licence,20,CDI,1,Vert l'un aspect ami. Traîner livrer peuple empêcher paix rapidement inviter arbre. Mien quart trois dernier grain. Chef fait point sauver. Roi faute courage essayer violence nerveux résoudre.,"Voiture de fonction, Épargne entreprise, Formation continue",96000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",4,12
Administrative Manager,Laurent SPA,Pharmaceutical Development,Junior,2025-04-01,2025-04-20,2025-05-20,Healthcare,Constantine,Licence,18,Stage,2,Roche tromper honte nord police sauter entendre oui. Parfaitement lueur éprouver système. Mon exprimer métier lui. Vague lit poussière.,"Tickets restaurant, Épargne entreprise, Crèche d'entreprise",107000,"Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership",1,8
General Director,BNA,Medical Research,Lead,2025-04-02,2025-04-11,2025-05-11,Healthcare,In Salah,Licence,14,CDD,13,Certain souvent enfant voiture. Tombe foule nez taire. Lorsque poussière beau allumer tourner.,"Assurance maladie, Prime de performance, Formation continue",41000,"Clinical Trials, Laboratory Management, Epidemiology, Medical Writing, Biostatistics, Research Ethics, Regulatory Affairs",3,4
Administrative Manager,Laurent SPA,General Management,Senior,2025-04-11,2025-05-18,2025-06-17,Pharmaceuticals,Mostaganem,Master,17,Stage,13,Se devant toi. Fait race ensemble image loin spectacle apporter précéder. Interroger drame choix serrer fond. Placer plonger disparaître dont relation choisir placer. Jamais fin changer appeler lier son. Attention vague coin sueur entendre préparer moi.,"Prime de performance, Assurance maladie, Épargne entreprise",35000,"Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership",1,12
Safety Training Coordinator,Mahe SA SARL,"HSE (Health, Safety, Environment)",Junior,2025-04-01,2025-05-22,2025-06-21,Energy & Petroleum,Ghardaïa,Master,12,Stage,7,Fait vieil voile remonter sec ennemi. Air grâce réfléchir personne. Servir un machine chez épaule siècle le.,"Assurance maladie, Épargne entreprise, Formation continue",54000,"Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing",3,8
Facilities Manager,Djezzy,Operations,Lead,2025-04-01,2025-04-22,2025-05-22,E-Commerce,Tizi Ouzou,Licence,16,Alternance,3,Loin nuage colline mari. Nature réel haut selon étendue. Passé inviter nuage nu. Voix miser divers nez poète tard. Gagner voici il arracher cruel aile traiter inspirer.,"Crèche d'entreprise, Voiture de fonction, Épargne entreprise",54000,"Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",1,10
Process Engineer,Louis et Fils SARL,Refining & Processing,Senior,2025-04-21,2025-04-28,2025-05-28,Energy & Petroleum,Tébessa,Licence,19,CDI,13,Justice apparence oeuvre police franc. Banc mourir leur fidèle chaîne nombreux servir droite. Convenir courant veille occuper contenter supposer. Rêver même nu engager vin ventre lutter.,"Prime de performance, Assurance maladie, Télétravail partiel",92000,"Report Writing, Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office",4,3
