job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,experience required,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills
AI Ethics Consultant,BioGenix,Finance,Chief,2024-07-14,2024-10-11,2024-10-11,Informatique,Tlemcen,6-15 ans,Bac,12,CDD,5,"Profil recherché (FR):
Responsabilités: Coordination, Communication, Organization
Profil: Strategic Planning, Compliance
Compétences:
- SEO
- Data Analysis
- Python
Avantages: Cloud; Research; Coordination
","Assurance santé, Prime performance",12% commission,"Time Management, Adaptability, Problem Solving, Critical Thinking, Teamwork"
Video Editor,RetailSync,Operations,Lead,17 July 2024,04 August 2024,2024-08-04,Admin,Annaba,5-13 ans,Master,18,Volontariat,5,"Expérience requise: 5-13 ans. Éducation: Master, 18 ans. As Lead Video Editor, you'll design critical projects. En tant que Lead Video Editor, vous serez amené à coordonner les processus.",Prime performance,88% commission,"SQL, DevOps, Docker, Python, C++, Java, Network Security"
Researcher,FutureVision,Legal,Senior,03/06/2024,2024-06-10,2024-06-10,Ventes,Constantine,4-13 ans,None,0,Volontariat,10,"Profil recherché (FR):
Responsabilités: Data Analysis; Teamwork; Research
Profil: Digital Marketing, Compliance, Python
Compétences: Data Analysis, Teamwork, Leadership, UX/UI, Budgeting
Avantages:
- Digital Marketing
- Budgeting
- Teamwork
- Machine Learning
","Voiture de fonction, Ticket Restaurant",87% commission,"Patient Care, HIPAA Compliance, Pharmacovigilance, Clinical Trials, Medical Terminology"
Volunteer Coord.,Creative Minds,IT,Senior,"May 18, 2024",2024-07-04,2024-07-04,Ventes,Tlemcen,5-13 ans,Master,18,Temps partiel,3,"Expérience requise: 5-13 ans. Éducation: Master, 18 ans. As Senior Volunteer Coord., you'll design innovative projects. Contrat: Temps partiel. Localisation: Tlemcen. Département: IT.",Prime performance,306590 DZD,"Problem Solving, Communication, Time Management, Adaptability"
Project Manager,EduLearn,Sales,Chief,2024-05-03,2024-05-23,2024-05-23,Informatique,Hybride,0-9 ans,None,0,Temps partiel,3,"Profil recherché (EN):
Responsabilités:
- Research
- Coordination
Profil:
- Maintenance
- SEO
- Negotiation
- Strategic Planning
- Digital Marketing
Compétences:
- Data Analysis
- Blockchain
- Digital Marketing
- Graphic Design
Avantages:
- Project Mgmt
- Python
","Télétravail partiel, Voiture de fonction, Horaires flexibles",287238-655668 DZD,"Lean Management, Process Optimization, Inventory Control, Logistics, Supply Chain Management, Quality Control"
Cloud Architect,MarketMinds,Marketing,Senior,"Jul 31, 2024",08 October 2024,2024-10-08,Marketing,Tlemcen,5-13 ans,None,0,Stage,10,"Profil recherché (FR):
Responsabilités:
- Communication
- Budgeting
- CAD
- Python
Profil: Negotiation, Research, Digital Marketing, Java
Compétences: Machine Learning; Negotiation
Avantages:
- Java
- Leadership
- UX/UI
- Machine Learning
- Project Mgmt
","Voiture de fonction, Participation bénéfices",39% commission,"Machine Learning, Python, Kubernetes, SQL"
Project Manager,Nordic Finance,HR,Chief,"Aug 13, 2024",2024-10-19,2024-10-19,Marketing,Béjaïa,4-6 ans,None,0,Temps plein,3,"As Chief Project Manager, you'll design key projects. En tant que Chief Project Manager, vous serez amené à développer l’équipe. Expérience requise: 4-6 ans. Éducation: None, 0 ans.","Horaires flexibles, Assurance santé",180103-449723 DZD,"Inventory Control, Quality Control, Supply Chain Management, Process Optimization"
Data Scientist,TransLogistics,Marketing,Mid,09 December 2024,06 March 2025,2025-03-06,Informatique,Annaba,3-5 ans,Master,18,Stage,1,"En tant que Mid Data Scientist, vous serez amené à gérer les systèmes. Expérience requise: 3-5 ans. Éducation: Master, 18 ans. Contrat: Stage. Localisation: Annaba. Département: Marketing.",Voiture de fonction,363463 DZD,"SQL, C++, Kubernetes, Docker"
IT Intern,GreenEnergy,Engineering,Senior,05 January 2025,21 February 2025,2025-02-21,Juridique,Alger,10-12 ans,Bac,12,CDD,2,"Contrat: CDD. Localisation: Alger. Département: Engineering. Expérience requise: 10-12 ans. Éducation: Bac, 12 ans. As Senior IT Intern, you'll perform key projects.","Voiture de fonction, Formation continue, Ticket Restaurant",503725 DZD,"Kubernetes, SQL, Docker, Python"
UX Designer,NextGen Robotics,Operations,Senior,2025-04-16,2025-05-26,2025-05-26,Finance,Alger,7-15 ans,None,0,Freelance,10,"Profil recherché (MIX):
Responsabilités:
- Blockchain
- Budgeting
- Research
- Customer Service
Profil: Data Analysis, Technical Writing, Machine Learning, Communication
Compétences:
- Maintenance
- Leadership
- Logistics
- Java
- Machine Learning
Avantages: UX/UI, Cloud, Research, Communication
",Voiture de fonction,504849 DZD,"Figma, Prototyping, Color Theory, Sketch, Adobe Photoshop"
