skills,experience,salary,location,job_interest,sector,education_level
"Analytics, Copywriting, Social Media",4,65827,Ghardaia,Marketing,Business,Master's
"Negotiation, Sales Forecasting, Customer Service, Lead Generation",4,112241,Chlef,Sales,Business,Bachelor's
"Copywriting, Analytics, Social Media, Google Ads",4,66627,Sidi Bel Abbès,Marketing,Business,Doctorate
"Git, JavaScript, SQL, C++",1,54462,Tlemcen,Software Engineering,Information Technology,High School
"Networking, Security, Scripting, Linux, Windows Server",6,121115,Relizane,System Administration,Information Technology,Ingénieur
"Regulatory Compliance, Litigation, Legal Research",3,97794,Batna,Legal,Legal,No Formal Education
"Blueprint Reading, Safety Procedures, Masonry, Plumbing, Site Management, Carpentry",8,131492,Chlef,Construction,Construction,Doctorate
"Cold Calling, Customer Service, Negotiation, Sales Forecasting, CRM, Lead Generation",14,41818,Oran,Sales,Business,Ingénieur
"Social Media, Content Creation, Copywriting",5,108422,Skikda,Marketing,Business,High School
"Social Media, SEO, Analytics, Google Ads",6,81777,Blida,Marketing,Business,Master's
"3D Modeling, UI/UX, Photoshop",2,98636,Relizane,Art & Design,Creative,Bachelor's
"Assessment, Curriculum Design, Teaching, E-Learning, Mentoring, Classroom Management",7,107518,Sidi Bel Abbès,Education,Education,Technical Diploma
"Carpentry, Plumbing, Blueprint Reading, Masonry, Site Management",4,88643,M'Sila,Construction,Construction,Bachelor's
"MATLAB, SolidWorks, Project Management, AutoCAD, Design",4,96679,Blida,Engineering,Engineering,No Formal Education
"Masonry, Safety Procedures, Plumbing, Carpentry, Blueprint Reading",10,149678,Constantine,Construction,Construction,Master's
"Legal Research, Regulatory Compliance, Case Management, Contracts, Litigation",1,74634,Blida,Legal,Legal,Ingénieur
"Blueprint Reading, Safety Procedures, Plumbing, Carpentry, Site Management",1,130280,Tipaza,Construction,Construction,No Formal Education
"Soil Testing, Pest Control, Irrigation, Crop Management",7,127179,Ouargla,Agriculture,Agriculture,Ingénieur
"Statistics, Machine Learning, SQL, Python, TensorFlow, Pandas",1,100185,Annaba,Data Science,Information Technology,High School
"E-Learning, Classroom Management, Mentoring, Curriculum Design",1,154543,Sidi Bel Abbès,Education,Education,High School
"Graphic Design, Creativity, 3D Modeling",4,144423,Chlef,Art & Design,Creative,Bachelor's
"Agro-tech, Soil Testing, Tractor Operation, Pest Control, Irrigation",9,98888,Tipaza,Agriculture,Agriculture,High School
"Windows Server, Security, Virtualization, Scripting, Linux, Networking",1,44189,Tlemcen,System Administration,Information Technology,High School
"Networking, Windows Server, Scripting",4,129642,Bejaia,System Administration,Information Technology,Master's
