job_Id,job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,technical_skills,experience_min_req,experience_max_req,salary
1,Teacher,Academic Advisor,2025-04-10,2025-04-15,2025-05-15,Education,Blida,Licence,15,CDD,2,"Peer Learning Platforms, Curriculum Design, Gamification (Kahoot), Virtual Classrooms (Zoom), Digital Assessments, AR/VR Learning, Plagiarism Detection (Turnitin), Flipped Classroom Models, LMS (Moodle/Canvas)",2,5,50000
2,Cybersecurity Analyst,DevOps Engineer,2025-02-09,2025-02-22,2025-03-24,Information Technology,Algiers,Baccalaureate,12,Internship,6,"MySQL, IDS, Vue.js, React, Burp Suite, Angular",0,1,89000
3,Store Manager,Inventory Coordinator,2025-03-02,2025-03-12,2025-04-11,Retail,Oran,Ingénieur d'État,18,CDI,9,"Retail Chatbots, CRM (Salesforce), POS Systems, Click-and-Collect, Loss Prevention, Blockchain, Loyalty Programs, Cashierless Checkout, Social Commerce, Omnichannel Strategy, Vendor Management, Retail Automation",4,6,58000
4,Fleet Coordinator,Supply Chain Analyst,2025-02-20,2025-02-24,2025-03-26,Transport & Logistics,Batna,Doctorat,20,CDI,10,"EDI Integration, Last-Mile Delivery, Freight Forwarding, Cold Chain Logistics, Inventory Control, Logistics Costing, Reverse Logistics, SCM ERP Systems, Fleet Management, Transportation Modeling, Logistics Automation, Warehouse Management Systems, Route Optimization, Logistics Planning, TMS Software",8,10,90000
5,Health Informatics Specialist,Health Informatics Specialist,2025-04-13,2025-05-09,2025-06-08,Healthcare,Tébessa,Licence,15,Freelance,3,"Stem Cell Research, Mental Health Apps, Health Economics, Epidemiology, Surgical Robotics, Genomics, HIPAA Compliance, Health Insurance, Population Health",2,5,67000
6,Curriculum Developer,Curriculum Developer,2025-02-15,2025-03-15,2025-04-14,Education,Jijel,Doctorat,20,CDI,7,"Plagiarism Detection (Turnitin), Esports in Schools, LMS (Moodle/Canvas), Educational Data Mining, Classroom Management, Accessibility (WCAG), E-Learning Tools (Articulate), Microlearning, Digital Assessments, Virtual Classrooms (Zoom), AR/VR Learning, Podcasting in Ed, Educational Robotics, Mental Health Tools, Student Information Systems (SIS)",8,13,60000
7,Quality Control Inspector,Quality Control Inspector,2025-03-19,2025-03-20,2025-04-19,Manufacturing,Sétif,Baccalaureate,12,Alternance,9,"Industrial Automation (PLC), Robotics (ROS), IIoT, Tooling Design, Smart Factories, Predictive Maintenance, Quality Control",0,2,48000
8,Mine Engineer,Mine Engineer,2025-02-09,2025-02-13,2025-03-15,Mining,Bouira,No Formal Education,0,Alternance,3,"Drilling Operations, Rock Mechanics, Mining Economics",0,1,72000
9,Process Technician,Maintenance Engineer,2025-02-28,2025-03-11,2025-04-10,Manufacturing,M’sila,Master,17,Internship,2,"Six Sigma, Digital Twins, Industrial Automation (PLC), CAD/CAM, Safety Standards, Quality Control, Tooling Design",0,1,71000
10,Video Editor,Content Producer,2025-03-28,2025-04-26,2025-05-26,Media & Entertainment,Algiers,No Formal Education,0,Freelance,2,"Transmedia Storytelling, AR/VR Content, OTT Platforms",0,1,36000
