job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,benefits,technical_skills,experience_min_req,experience_max_req,edu_value,language_proficiency,education_requirement_std,salary
General Director,General Management,2025-03-26,2025-05-23,2025-06-22,Fisheries,Béchar,Licence,15,CDD,4,"Épargne entreprise, Assurance maladie, Tickets restaurant","Team Leadership, Project Management, French Bilingual, Microsoft Office, Report Writing",4,3,15,"Arabic, French",License,47200.0
Logistics Coordinator,Operations,2025-04-13,2025-04-25,2025-05-25,Fisheries,Tébessa,Doctorat,20,Freelance,6,"Voiture de fonction, Assurance maladie, Crèche d'entreprise","Microsoft Office, Report Writing, Team Leadership, French Bilingual, Project Management",3,5,20,"Arabic, French",Doctorat,40200.0
Operations Manager,Operations,2025-04-07,2025-05-19,2025-06-18,Retail,Illizi,Licence,15,Freelance,8,"Formation continue, Prime de performance, Assurance maladie","Report Writing, Team Leadership, Project Management, French Bilingual, Microsoft Office",0,9,15,"Arabic, French",License,49400.0
Supply Chain Manager,Operations,2025-04-21,2025-05-28,2025-06-27,Public Sector,Constantine,Licence,15,Alternance,8,"Crèche d'entreprise, Tickets restaurant, Formation continue","Team Leadership, Report Writing, Microsoft Office, French Bilingual, Project Management",0,5,15,"Arabic, French",License,45200.0
Team Leader,General Management,2025-03-31,2025-05-19,2025-06-18,E-Commerce,Annaba,Master,17,Alternance,10,"Voiture de fonction, Télétravail partiel, Tickets restaurant","Team Leadership, Microsoft Office, French Bilingual, Report Writing, Project Management",5,15,17,"Arabic, French, English",Master,111600.0
Facilities Manager,Operations,2025-03-27,2025-05-02,2025-06-01,Transport & Logistics,Laghouat,Licence,15,Stage,6,"Épargne entreprise, Prime de performance, Tickets restaurant","Microsoft Office, Report Writing, French Bilingual, Project Management, Team Leadership",3,4,15,"Arabic, French",License,47200.0
Team Leader,General Management,2025-04-15,2025-06-12,2025-07-12,Mining,Blida,Doctorat,20,Freelance,12,"Assurance maladie, Crèche d'entreprise, Voiture de fonction","Report Writing, Team Leadership, Microsoft Office, French Bilingual, Project Management",0,4,20,"Arabic, French",Doctorat,36800.0
Project Manager,General Management,2025-03-31,2025-05-19,2025-06-18,E-Commerce,Sétif,Licence,15,Freelance,9,"Crèche d'entreprise, Voiture de fonction, Assurance maladie","French Bilingual, Project Management, Microsoft Office, Report Writing, Team Leadership",1,12,15,"Arabic, French, English",License,84200.0
Project Manager,General Management,2025-03-26,2025-05-18,2025-06-17,Media & Entertainment,Jijel,Master,17,Alternance,4,"Voiture de fonction, Épargne entreprise, Prime de performance","French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",2,14,17,"Arabic, French, English",Master,85000.0
Production Supervisor,Operations,2025-04-15,2025-05-06,2025-06-05,Tourism & Hospitality,Tizi Ouzou,Licence,15,Stage,6,"Épargne entreprise, Voiture de fonction, Tickets restaurant","Team Leadership, Microsoft Office, French Bilingual, Report Writing, Project Management",3,9,15,"Arabic, French",License,52500.0
Administrative Manager,General Management,2025-04-18,2025-06-09,2025-07-09,Public Sector,Tébessa,Bac,12,CDI,10,"Voiture de fonction, Épargne entreprise, Télétravail partiel","Team Leadership, French Bilingual, Project Management, Report Writing, Microsoft Office",3,3,12,"Arabic, French",Baccalaureate,38500.0
Production Supervisor,Operations,2025-03-31,2025-05-17,2025-06-16,Renewable Energy,Algiers,Master,17,CDD,8,"Tickets restaurant, Formation continue, Voiture de fonction","Team Leadership, Project Management, Report Writing, French Bilingual, Microsoft Office",4,12,17,"Arabic, French",Master,66200.0
QA Engineer,Software Development,2025-03-31,2025-04-28,2025-05-28,Information Technology,Tamanrasset,Licence,15,CDD,10,"Épargne entreprise, Prime de performance, Voiture de fonction","Git, CI, CD Pipelines, Python, Agile Methodology, REST APIs, Microservices, Django, .NET",4,13,15,"Arabic, French",License,57800.0
General Director,General Management,2025-04-21,2025-05-22,2025-06-21,Telecommunications,Timimoun,Doctorat,20,CDI,2,"Épargne entreprise, Crèche d'entreprise, Prime de performance","Team Leadership, Project Management, Report Writing, Microsoft Office, French Bilingual",0,11,20,"Arabic, French",Doctorat,42900.0
Supply Chain Manager,Operations,2025-03-27,2025-05-12,2025-06-11,Public Sector,Tizi Ouzou,Licence,15,CDD,7,"Épargne entreprise, Tickets restaurant, Voiture de fonction","Team Leadership, Project Management, Report Writing, French Bilingual, Microsoft Office",2,10,15,"Arabic, French",License,52500.0
Organic Farm Manager,Sustainable Farming,2025-04-01,2025-05-26,2025-06-25,Agriculture,Constantine,Master,17,Freelance,8,"Prime de performance, Crèche d'entreprise, Télétravail partiel","Organic Certification, Agroecology, Precision Agriculture, Permaculture Design, Soil Health Management, Water Conservation",0,13,17,"Arabic, French",Master,62500.0
QA Engineer,Software Development,2025-04-17,2025-05-04,2025-06-03,Information Technology,Tébessa,Doctorat,20,Freelance,9,"Formation continue, Télétravail partiel, Assurance maladie","Python, Git, Agile Methodology, REST APIs, Django, CI, CD Pipelines, .NET, Microservices",4,14,20,"Arabic, French",Doctorat,49000.0
Drilling Engineer,Drilling Operations,2025-03-29,2025-04-28,2025-05-28,Energy & Petroleum,Blida,Master,17,Alternance,3,"Épargne entreprise, Télétravail partiel, Prime de performance","Project Management, Report Writing, Microsoft Office, Team Leadership, French Bilingual",4,15,17,"Arabic, French",Master,119700.0
Academic Advisor,Higher Education,2025-04-07,2025-05-16,2025-06-15,Education,Constantine,Master,17,Alternance,6,"Voiture de fonction, Prime de performance, Assurance maladie","Team Leadership, French Bilingual, Project Management, Microsoft Office, Report Writing",3,13,17,"Arabic, French",Master,56700.0
General Director,General Management,2025-04-03,2025-05-11,2025-06-10,Telecommunications,Jijel,Bac,12,Freelance,11,"Tickets restaurant, Formation continue, Épargne entreprise","French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",4,14,12,"Arabic, French",Baccalaureate,49000.0
Operations Manager,General Management,2025-04-13,2025-06-09,2025-07-09,E-Commerce,Djanet,Bac,12,CDI,3,"Crèche d'entreprise, Tickets restaurant, Voiture de fonction","Report Writing, French Bilingual, Microsoft Office, Project Management, Team Leadership",2,5,12,"Arabic, French, English",Baccalaureate,61900.0
Administrative Manager,General Management,2025-03-29,2025-04-26,2025-05-26,Aerospace & Defense,Chlef,Ingénieur d'État,19,CDI,5,"Assurance maladie, Formation continue, Crèche d'entreprise","French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",1,11,19,"Arabic, French",Ingénieur d'État,43800.0
International Student Advisor,International Relations,2025-03-27,2025-05-14,2025-06-13,Education,Tlemcen,Bac,12,CDD,3,"Assurance maladie, Tickets restaurant, Prime de performance","Project Management, Team Leadership, Microsoft Office, Report Writing, French Bilingual",0,10,12,"Arabic, French",Baccalaureate,36000.0
Finance Manager,Hospital Administration,2025-04-02,2025-04-25,2025-05-25,Healthcare,Illizi,Ingénieur d'État,19,CDI,14,"Crèche d'entreprise, Assurance maladie, Prime de performance","Report Writing, Team Leadership, Microsoft Office, Project Management, French Bilingual",2,6,19,"Arabic, French",Ingénieur d'État,51700.0
Facilities Manager,Operations,2025-04-03,2025-05-07,2025-06-06,Retail,In Salah,Bac,12,Stage,2,"Assurance maladie, Épargne entreprise, Formation continue","Microsoft Office, Project Management, Team Leadership, French Bilingual, Report Writing",0,11,12,"Arabic, French",Baccalaureate,42900.0
Full Stack Developer,Software Development,2025-03-27,2025-05-12,2025-06-11,Information Technology,Sétif,Bac,12,CDD,10,"Formation continue, Épargne entreprise, Voiture de fonction","REST APIs, Python, Git, Agile Methodology, Spring Boot, Microservices, Java, .NET",2,8,12,"Arabic, French",Baccalaureate,42000.0
Operations Manager,Operations,2025-03-26,2025-05-21,2025-06-20,Manufacturing,M'sila,Bac,12,CDI,2,"Télétravail partiel, Formation continue, Tickets restaurant","Microsoft Office, Team Leadership, Report Writing, Project Management, French Bilingual",4,8,12,"Arabic, French",Baccalaureate,47500.0
Biomedical Engineer,Medical Equipment Maintenance,2025-04-01,2025-05-05,2025-06-04,Healthcare,Chlef,Master,17,CDD,2,"Crèche d'entreprise, Formation continue, Voiture de fonction","French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",1,11,17,"Arabic, French",Master,78700.0
Supply Chain Manager,Operations,2025-04-19,2025-06-10,2025-07-10,Tourism & Hospitality,Annaba,Master,17,CDI,5,"Formation continue, Prime de performance, Crèche d'entreprise","Report Writing, Microsoft Office, Project Management, French Bilingual, Team Leadership",4,9,17,"Arabic, French",Master,62500.0
Facilities Manager,Operations,2025-04-07,2025-05-16,2025-06-15,Construction,Tébessa,Bac,12,Stage,15,"Crèche d'entreprise, Télétravail partiel, Assurance maladie","Microsoft Office, Report Writing, Project Management, French Bilingual, Team Leadership",4,14,12,"Arabic, French",Baccalaureate,58800.0
Facilities Manager,Operations,2025-03-26,2025-04-10,2025-05-10,Tourism & Hospitality,Ouargla,Bac,12,Freelance,12,"Tickets restaurant, Voiture de fonction, Épargne entreprise","Project Management, Report Writing, Microsoft Office, Team Leadership, French Bilingual",0,13,12,"Arabic, French",Baccalaureate,44600.0
Facilities Manager,Operations,2025-04-24,2025-05-11,2025-06-10,Public Sector,Tamanrasset,Licence,15,CDD,12,"Voiture de fonction, Tickets restaurant, Crèche d'entreprise","French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",4,7,15,"Arabic, French",License,51500.0
Supply Chain Manager,Operations,2025-03-30,2025-04-28,2025-05-28,Renewable Energy,Djanet,Doctorat,20,Freelance,8,"Tickets restaurant, Formation continue, Prime de performance","Project Management, French Bilingual, Microsoft Office, Team Leadership, Report Writing",0,12,20,"Arabic, French",Doctorat,43800.0
Credit Analyst,Retail Banking,2025-04-19,2025-05-17,2025-06-16,Banking & Finance,Ghardaïa,Master,17,Alternance,6,"Télétravail partiel, Épargne entreprise, Tickets restaurant","Team Leadership, French Bilingual, Microsoft Office, Report Writing, Project Management",2,13,17,"Arabic, French",Master,64900.0
Training Manager,Vocational Training,2025-04-07,2025-04-22,2025-05-22,Education,Laghouat,Licence,15,CDD,1,"Crèche d'entreprise, Épargne entreprise, Formation continue","Project Management, French Bilingual, Team Leadership, Microsoft Office, Report Writing",0,6,15,"Arabic, French",License,39600.0
Administrative Manager,General Management,2025-03-30,2025-04-26,2025-05-26,Mining,El Oued,Bac,12,Alternance,8,"Tickets restaurant, Voiture de fonction, Assurance maladie","French Bilingual, Project Management, Microsoft Office, Report Writing, Team Leadership",5,10,12,"Arabic, French",Baccalaureate,46400.0
Team Leader,General Management,2025-04-12,2025-04-26,2025-05-26,Mining,Ouargla,Bac,12,Stage,11,"Tickets restaurant, Assurance maladie, Épargne entreprise","Team Leadership, Microsoft Office, French Bilingual, Project Management, Report Writing",3,8,12,"Arabic, French",Baccalaureate,42900.0
Bank Branch Manager,Retail Banking,2025-04-02,2025-05-10,2025-06-09,Banking & Finance,Biskra,Bac,12,Alternance,15,"Télétravail partiel, Assurance maladie, Prime de performance","Microsoft Office, French Bilingual, Team Leadership, Report Writing, Project Management",4,15,12,"Arabic, French",Baccalaureate,49900.0
Supply Chain Manager,Operations,2025-03-31,2025-04-07,2025-05-07,Media & Entertainment,In Salah,Licence,15,CDD,6,"Télétravail partiel, Formation continue, Tickets restaurant","Team Leadership, Microsoft Office, Project Management, Report Writing, French Bilingual",1,10,15,"Arabic, French, English",License,66200.0
