id,name,skills,experience,salary,location,job_interest
1,Candidate_1,"Java, Kubernetes, SQL, React, Docker, AWS",6,88364,Blida,Backend Developer
2,Candidate_2,"Kubernetes, Docker, AWS, Node.js, Java, C++",5,41581,Algiers,Data Scientist
3,Candidate_3,"Java, SQL, C++, Node.js, Python, Docker",6,59173,Setif,Data Scientist
4,Candidate_4,"Node.js, Kubernetes, Docker, Java, SQL",10,95734,Constantine,Data Scientist
5,Candidate_5,"Java, AWS, Docker, SQL, Node.js",1,113708,Setif,Frontend Developer
6,Candidate_6,"Java, AWS, Machine Learning, SQL",9,55711,Oran,Data Scientist
7,Candidate_7,"AWS, Java, Docker",1,99685,Oran,DevOps Engineer
8,Candidate_8,"Node.js, Machine Learning, Python, Java, Docker",3,97480,Blida,Frontend Developer
9,Candidate_9,"Kubernetes, Machine Learning, Node.js, C++, AWS",8,57256,Blida,Backend Developer
10,Candidate_10,"AWS, Machine Learning, Python, C++",6,51675,Setif,DevOps Engineer
11,Candidate_11,"Python, C++, AWS, Java, Kubernetes, Docker",6,62883,Algiers,Frontend Developer
12,Candidate_12,"React, SQL, Java, C++, AWS",7,87421,Constantine,Backend Developer
13,Candidate_13,"Kubernetes, AWS, React, SQL",2,84037,Algiers,DevOps Engineer
14,Candidate_14,"Python, SQL, Machine Learning, Kubernetes, C++, AWS",8,67057,Blida,Backend Developer
15,Candidate_15,"AWS, Kubernetes, React, Python, C++, Java",10,79957,Constantine,Backend Developer
16,Candidate_16,"Docker, Kubernetes, SQL, Java, AWS",1,41869,Oran,Data Scientist
17,Candidate_17,"React, C++, Docker, Python, Java",1,94735,Algiers,Backend Developer
18,Candidate_18,"C++, Kubernetes, SQL",10,101124,Constantine,Backend Developer
19,Candidate_19,"C++, SQL, Docker, Java, Kubernetes, AWS",1,61737,Oran,Backend Developer
20,Candidate_20,"Java, Kubernetes, Docker, React",7,45719,Algiers,Software Engineer
21,Candidate_21,"Kubernetes, C++, SQL, Python, Java",6,41882,Blida,DevOps Engineer
22,Candidate_22,"AWS, Node.js, C++, React",1,68632,Setif,DevOps Engineer
23,Candidate_23,"C++, React, Machine Learning, Node.js, Docker",2,82389,Blida,Frontend Developer
24,Candidate_24,"SQL, Machine Learning, Java, Kubernetes, AWS, Node.js",5,84608,Algiers,Data Scientist
25,Candidate_25,"C++, Kubernetes, React, SQL, Machine Learning, Docker",6,78507,Blida,Backend Developer
26,Candidate_26,"Docker, Kubernetes, Java, SQL, C++, Machine Learning",5,58896,Oran,DevOps Engineer
27,Candidate_27,"Node.js, SQL, Python, Java",8,119461,Algiers,Data Scientist
28,Candidate_28,"SQL, Machine Learning, Java, Node.js, React",8,64837,Constantine,DevOps Engineer
29,Candidate_29,"Node.js, Machine Learning, Docker",8,62751,Blida,Software Engineer
30,Candidate_30,"C++, AWS, Python, Docker, Machine Learning",10,118575,Blida,Software Engineer
31,Candidate_31,"React, C++, AWS, Machine Learning, Java",9,99294,Oran,Backend Developer
32,Candidate_32,"Docker, Kubernetes, C++, Python, SQL, Java",7,93448,Setif,Data Scientist
33,Candidate_33,"Kubernetes, Node.js, C++, Docker, React, Java",9,115424,Constantine,Frontend Developer
34,Candidate_34,"Machine Learning, AWS, Docker, SQL",9,42884,Constantine,Data Scientist
35,Candidate_35,"C++, Docker, AWS, Kubernetes, SQL, Java",2,81108,Setif,DevOps Engineer
36,Candidate_36,"SQL, Java, Machine Learning",7,90511,Setif,Frontend Developer
37,Candidate_37,"SQL, Java, React, Python",8,40843,Oran,Data Scientist
38,Candidate_38,"Kubernetes, Node.js, Python",2,86160,Blida,Software Engineer
39,Candidate_39,"Node.js, Machine Learning, Python, AWS, SQL, C++",10,109693,Blida,Backend Developer
40,Candidate_40,"SQL, Kubernetes, Java, Python, Node.js, React",7,90540,Algiers,Frontend Developer
41,Candidate_41,"React, C++, AWS, Docker, SQL",8,96180,Constantine,DevOps Engineer
42,Candidate_42,"Machine Learning, AWS, Node.js, Python, Docker, C++",10,62893,Setif,Frontend Developer
43,Candidate_43,"Java, Machine Learning, AWS, Python",9,103043,Algiers,Backend Developer
44,Candidate_44,"Node.js, Docker, Machine Learning, C++, SQL, AWS",7,65284,Oran,DevOps Engineer
45,Candidate_45,"AWS, Python, C++",8,69892,Blida,Frontend Developer
46,Candidate_46,"Java, AWS, Docker, Node.js, Kubernetes",3,73546,Algiers,Backend Developer
47,Candidate_47,"Node.js, SQL, Python, Docker",4,74990,Setif,Data Scientist
48,Candidate_48,"Kubernetes, SQL, C++, Machine Learning, React, Java",4,71824,Setif,DevOps Engineer
49,Candidate_49,"C++, Java, Docker, Kubernetes",9,79000,Algiers,Backend Developer
50,Candidate_50,"C++, Node.js, Kubernetes, AWS, Java",7,71274,Algiers,Frontend Developer
51,Candidate_51,"SQL, Machine Learning, Python, AWS",9,42091,Algiers,Data Scientist
52,Candidate_52,"AWS, Node.js, Machine Learning, Python, Kubernetes",8,73450,Setif,Data Scientist
53,Candidate_53,"Machine Learning, React, Docker, Java",5,65870,Algiers,Data Scientist
54,Candidate_54,"Kubernetes, Machine Learning, Java, SQL, AWS",4,113094,Setif,Frontend Developer
55,Candidate_55,"AWS, C++, Kubernetes, SQL",9,86613,Oran,DevOps Engineer
56,Candidate_56,"React, Node.js, SQL, AWS, Java, Machine Learning",7,61554,Algiers,Software Engineer
57,Candidate_57,"Docker, Java, Node.js",8,94395,Constantine,Frontend Developer
58,Candidate_58,"Docker, React, Machine Learning, Node.js, C++",10,81183,Algiers,DevOps Engineer
59,Candidate_59,"AWS, Kubernetes, React",4,119949,Constantine,Data Scientist
60,Candidate_60,"Python, C++, AWS, Java, Machine Learning",9,103168,Oran,DevOps Engineer
61,Candidate_61,"React, Java, SQL, Node.js",2,95336,Constantine,DevOps Engineer
62,Candidate_62,"Python, Kubernetes, Docker, Node.js, Java, React",4,73652,Oran,DevOps Engineer
63,Candidate_63,"React, Python, Kubernetes",7,89796,Oran,Frontend Developer
64,Candidate_64,"AWS, Java, Kubernetes, Docker, Python, SQL",3,118080,Oran,Frontend Developer
65,Candidate_65,"SQL, React, Java, AWS",1,77852,Oran,Frontend Developer
66,Candidate_66,"SQL, Docker, Python, Kubernetes, C++",7,68074,Algiers,Data Scientist
67,Candidate_67,"AWS, Java, Machine Learning, C++, Node.js",10,104726,Blida,DevOps Engineer
68,Candidate_68,"Java, AWS, C++",7,107326,Setif,Software Engineer
69,Candidate_69,"AWS, Kubernetes, Java",9,60443,Oran,Frontend Developer
70,Candidate_70,"Java, Python, C++, AWS, Docker, Node.js",2,71913,Setif,Backend Developer
71,Candidate_71,"Kubernetes, Docker, Node.js",3,110617,Oran,Frontend Developer
72,Candidate_72,"Java, Machine Learning, Node.js, Kubernetes, SQL, React",6,44651,Constantine,DevOps Engineer
73,Candidate_73,"React, Java, Python",7,114855,Blida,Frontend Developer
74,Candidate_74,"C++, SQL, Docker, Node.js",10,76581,Setif,DevOps Engineer
75,Candidate_75,"Java, C++, AWS, Node.js, Python, Kubernetes",9,78356,Constantine,Data Scientist
76,Candidate_76,"Node.js, AWS, Machine Learning, SQL, C++",4,90362,Oran,Software Engineer
77,Candidate_77,"SQL, AWS, Kubernetes, React, Machine Learning, Java",10,100452,Oran,Frontend Developer
78,Candidate_78,"C++, AWS, SQL, Machine Learning, React, Node.js",4,50661,Oran,Frontend Developer
79,Candidate_79,"Python, Docker, Node.js, Machine Learning, Kubernetes, React",5,65458,Constantine,Software Engineer
80,Candidate_80,"Python, Kubernetes, SQL, AWS",4,99958,Oran,Backend Developer
81,Candidate_81,"Docker, React, SQL",3,115791,Setif,Software Engineer
82,Candidate_82,"React, Java, AWS, Python, Node.js",8,107485,Oran,Backend Developer
83,Candidate_83,"Kubernetes, Docker, Machine Learning",7,114712,Constantine,DevOps Engineer
84,Candidate_84,"Java, Node.js, AWS, Kubernetes, Docker",2,91536,Oran,DevOps Engineer
85,Candidate_85,"Node.js, Python, React, C++, Java",9,42217,Setif,Backend Developer
86,Candidate_86,"Machine Learning, Java, Node.js, Kubernetes",5,106483,Constantine,DevOps Engineer
87,Candidate_87,"Java, React, Docker, Machine Learning",10,96675,Setif,DevOps Engineer
88,Candidate_88,"SQL, Python, Java, Docker, C++",2,40607,Constantine,Frontend Developer
89,Candidate_89,"C++, Machine Learning, SQL, Docker, Node.js, Java",7,97977,Setif,DevOps Engineer
90,Candidate_90,"Node.js, React, Docker",3,42669,Constantine,DevOps Engineer
91,Candidate_91,"SQL, Python, Java, React, AWS, Node.js",6,100456,Constantine,Data Scientist
92,Candidate_92,"Node.js, Kubernetes, Docker, Python, SQL",7,87975,Oran,Frontend Developer
93,Candidate_93,"Node.js, React, C++, SQL, Docker",3,109658,Constantine,Software Engineer
94,Candidate_94,"Docker, Machine Learning, AWS, C++, Python, SQL",6,48879,Blida,Software Engineer
95,Candidate_95,"Docker, AWS, C++, Node.js, React",3,94816,Constantine,DevOps Engineer
96,Candidate_96,"Machine Learning, AWS, Kubernetes, React, Node.js, Python",10,70347,Algiers,Frontend Developer
97,Candidate_97,"SQL, AWS, Kubernetes, Java, Python",3,108903,Blida,Backend Developer
98,Candidate_98,"Kubernetes, SQL, C++",7,40741,Setif,DevOps Engineer
99,Candidate_99,"Node.js, SQL, AWS",1,108331,Blida,Backend Developer
100,Candidate_100,"C++, Python, Machine Learning, React",4,89764,Blida,Software Engineer
